GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
app,nextstep.jwp.application.db,InMemoryUserRepository,3,41,1,1,1,10,2,3,1,3
app,nextstep.jwp.webserver,HttpResponse,45,91,2,6,9,21,5,8,3,6
app,nextstep.jwp.webserver,JwpApplication,14,0,0,0,5,0,2,0,2,0
app,nextstep.jwp.webserver,RequestHandler,16,116,1,3,7,30,1,7,0,6
app,nextstep.jwp.webserver,WebServer,76,0,6,0,23,0,9,0,6,0
app,nextstep.jwp.webserver,HttpRequest,0,142,0,4,0,39,0,14,0,12
app,nextstep.jwp.webserver,StatusCode,0,81,0,0,0,11,0,3,0,3
app,nextstep.jwp.webserver,AbstractController,13,56,3,9,7,16,5,7,2,4
app,nextstep.jwp.webserver,HttpHeaders,1,95,1,3,1,22,1,10,0,9
app,nextstep.jwp.webserver,QueryParams,0,60,0,2,0,13,0,6,0,5
app,nextstep.jwp.webserver,FormBody,0,64,0,2,0,14,0,7,0,6
app,nextstep.jwp.webserver,HttpMethod,0,63,0,0,0,7,0,3,0,3
app,nextstep.jwp.webserver,Router,0,37,0,2,0,10,0,4,0,3
app,nextstep.jwp.application.controller,RegisterController,0,68,0,0,0,19,0,4,0,4
app,nextstep.jwp.application.controller,StaticFileController,0,41,0,0,0,10,0,2,0,2
app,nextstep.jwp.application.controller,HelloWorldController,7,3,0,0,3,1,1,1,1,1
app,nextstep.jwp.application.controller,LoginController,29,44,1,1,8,13,2,3,1,3
app,nextstep.jwp.application.model,User,0,47,0,0,0,14,0,7,0,7
